row_number,country_region,Confirmed,Death,Recovered,Confirmed_Death_Ratio,Confirmed_Recovered_Ration
130,Malta,4556210,62543,4051475,72.85,1.12
131,Marshall Islands,804,0,732,0.00,1.10
132,Martinique,172,6,0,28.67,0.00
133,Mauritania,4104867,99865,3687858,41.10,1.11
134,Mauritius,235313,4557,202853,51.64,1.16
135,Mayotte,21,0,0,0.00,0.00
136,Mexico,460463678,43005509,361780181,10.71,1.27
137,Micronesia,129,0,121,0.00,1.07
138,Moldova,42907803,973416,37917941,44.08,1.13
139,Monaco,364464,4305,326978,84.66,1.11
140,Mongolia,2388966,7481,1707503,319.34,1.40
141,Montenegro,14990089,216269,13019017,69.31,1.15
142,Morocco,104557135,1823724,97152598,57.33,1.08
143,Mozambique,9979000,105149,8109257,94.90,1.23
144,MS Zaandam,3824,848,1246,4.51,3.07
145,Namibia,7912632,90591,7142217,87.34,1.11
146,Nepal,67252242,580092,59837224,115.93,1.12
147,Netherlands,234955991,4168395,3301052,56.37,71.18
148,New Zealand,836280,9810,783265,85.25,1.07
149,Nicaragua,1929682,54413,1284912,35.46,1.50
150,Niger,1047041,43109,892393,24.29,1.17
151,Nigeria,33407947,490170,28514090,68.16,1.17
152,North Ireland,1,0,0,0.00,0.00
153,North Macedonia,23650041,747709,19378833,31.63,1.22
154,Norway,17283377,168543,5214261,102.55,3.31
155,occupied Palestinian territory,25,0,0,0.00,0.00
156,Oman,42831069,432957,38412529,98.93,1.12
157,Others,26228,189,5003,138.77,5.24
158,Pakistan,165572396,3537569,146019913,46.80,1.13
159,Palestine,86,0,0,0.00,0.00
160,Panama,73445278,1308362,64769509,56.14,1.13
161,Papua New Guinea,886555,8855,576956,100.12,1.54
162,Paraguay,38225829,819375,30225760,46.65,1.26
163,Peru,361150607,13194771,323672775,27.37,1.12
164,Philippines,164420468,3089116,142849090,53.23,1.15
165,Poland,380680836,8951676,309835430,42.53,1.23
166,Portugal,141962632,2836421,120619045,50.05,1.18
167,Puerto Rico,3,0,0,0.00,0.00
168,Qatar,52791589,90600,49060093,582.69,1.08
169,Republic of Ireland,21,0,0,0.00,0.00
170,Republic of the Congo,1,0,0,0.00,0.00
171,Reunion,137,0,0,0.00,0.00
172,Romania,173082798,4626607,151707879,37.41,1.14
173,Russia,930548849,18363719,790705716,50.67,1.18
174,Rwanda,3770080,44760,3234767,84.23,1.17
175,Saint Barthelemy,17,0,0,0.00,0.00
176,Saint Kitts and Nevis,11211,0,10218,0.00,1.10
177,Saint Lucia,502993,6864,450051,73.28,1.12
178,Saint Vincent and the Grenadines,229517,1096,174369,209.41,1.32
179,Samoa,481,0,360,0.00,1.34
180,San Marino,851906,23658,741010,36.01,1.15
181,Sao Tome and Principe,470914,7605,406519,61.92,1.16
